time	temperature	heat_index	dewpoint	wind_direction	wind_speed	wind_gust	humidity	pressure
20210124 16:25	0.6		-0.7	135.0	2.7	5.4	91.0	994.4
20210124 16:30	0.5		-0.8	135.0	2.7	4.5	91.0	994.5
20210124 16:35	0.5		-0.8	158.0	3.1	5.4	91.0	994.6
20210124 16:40	0.5		-0.8	135.0	3.1	4.9	91.0	994.5
20210124 16:45	0.5		-0.8	158.0	3.1	4.9	91.0	994.5
20210124 16:50	0.4		-0.9	158.0	2.7	5.4	91.0	994.5
20210124 16:55	0.4		-0.9	135.0	3.1	4.9	91.0	994.4
20210124 17:00	0.4		-0.9	135.0	3.1	5.4	91.0	994.4
20210124 17:05	0.4		-0.9	135.0	2.7	4.5	91.0	994.4
20210124 17:10	0.4		-0.9	135.0	2.7	4.5	91.0	994.4
20210124 17:15	0.4		-0.9	135.0	3.1	5.4	91.0	994.4
20210124 17:25	0.4		-0.9	158.0	3.1	4.5	91.0	994.4
20210124 17:30	0.3		-1.0	135.0	2.2	4.0	91.0	994.4
20210124 17:35	0.3		-0.8	135.0	2.2	3.6	92.0	994.4
20210124 17:40	0.3		-0.9	135.0	2.2	3.1	92.0	994.4
20210124 17:45	0.2		-0.9	135.0	2.2	4.0	92.0	994.4
20210124 17:50	0.2		-0.9	135.0	2.7	4.5	92.0	994.4
20210124 17:55	0.2		-0.9	135.0	3.1	5.4	92.0	994.4
20210124 18:00	0.2		-0.9	135.0	2.2	3.1	92.0	994.4
20210124 18:05	0.2		-1.0	135.0	2.2	4.5	92.0	994.4
20210124 18:10	0.2		-1.0	135.0	2.2	4.0	92.0	994.4
20210124 18:15	0.1		-1.0	135.0	2.2	4.0	92.0	994.3
20210124 18:20	0.1		-1.0	135.0	2.2	3.6	92.0	994.3
20210124 18:25	0.1		-1.1	135.0	3.1	4.5	92.0	994.3
20210124 18:30	0.1		-1.1	135.0	3.1	4.9	92.0	994.3
20210124 18:35	0		-1.1	135.0	3.1	4.9	92.0	994.3
20210124 18:40	-0.1		-1.2	135.0	3.1	4.9	92.0	994.2
20210124 18:45	-0.1		-1.2	135.0	2.7	5.4	92.0	994.2
20210124 18:50	-0.1		-1.0	135.0	3.1	6.3	93.0	994.1
